mus मुस
faay फाय
jil झील
qi कि
thya थ्य
tva त्व
rau	रौ
vik विक
shwa श्व
vya व्य
vyaa व्या
ble ब्ले
yein एं
sya स्य
shqa श्क़
khao खाओ
wayi वाई
za ज़
zaa ज़ा
zin ज़िं
shta ष्टा
khwa ख्वा
tthi ठी
dai दै
prak प्रक
qa का
baithaave	बैठावे
muhj	मुझ
abhee	अभी
pehare	पहरे
jaloon	जलूँ
yaade	यादें
batalaayegi	बतलाएगी
yaada	याद
vaasudevam	वासुदेवम
bhulaakar	भुलाकर
muhe	मुहे
gilaas	गिलास
kantha	कंठ
vafa	वफ़ा
rangavaayenge	रंगवायेंगे
suronn	सुरोंं
&	एंड
sadasiyon	सदस्यों
3	3
2	दो
1	1
jilla	जिला
7	7
takane	तकने
6	6
5	5
sagaai	सगाई
4	चार
pehara	पहरा
takana	तकना	
aavaara	आवारा
yaado	यादों
kaaamdev	कामदेव
8	आठ
behten	बहते
suroor	सुरूर
behtar	बेहतर
chakaraa	चकरा
bewafayi	बेवफ़ाई
qurbaniyaan	क़ुर्बानियां
mujh	मुझे
sanwaaraa	सँवारा
priyatam	प्रियतम
inaam	इनाम
vaha	वहाँ
batalaayein	बतलाएं
muka	मौका
abhyaas	अभ्यास
s	एस
damke	दमके
vahi	वही
muflisii	मुफ़्लिसी
gilaaf	गिलाफ़
panaahon	पनाहों
f	एफ़
abhaagini	अभागिनि
g	जी
ghim	घिं
ghin	घिं
d	द
e	े
ee ी
hi	बी
esse	इससे
muii	मुई
a	ए
n	न
o	ओ
l	ल
abhyaan	अभियान
m	म
j	जे
k	के
ghir	गिर
h	ह
i	इ
v	व
u	ू
sirat	सीरत
t	त
s	एस
r	आर
p	पी
joruu	जोरू
y	य
saareyaan	सारेयां
gulzaar	गुलज़ार
muda	मुड़ा
daraane	डराने
yaadon	याद
mude	मुड़े
tadpanewali	तड़पानेवालि
puchho	पूछो
abhii	अभी
mudi	मुड़ी
galegi	गलेगी
rangeeniyaan	रंगीनियां
vallaah	वल्लाह
runak	रुनक
wasuuli	वसूली
puchha	पूछा
lachakaaiye	लचकाइये
puchhe	पूछे
netaa	नेता
yaaminiim	यामिनीम
vaan	वां
vaat	वाट
vaar	वार
vaas	वास
vaah	वाह
yaaad	याद
nazadiik	नज़दीक
vaam	वां
vaaj	वाज
much	विशेष
badnaamiyaan	बदनामियाँ
takara	टकरा
vaad	वाद
nhiin	न्हीं
takari	तकारी
lagegaa	लगेगा
kerta	करता
qabil	क़ाबिल
aashuftaa	आशुफ़्ता
behtey	बहते
chaalaak	चालाक
vade	वादे
muft	मुफ्त
muntazar	मुंतज़र
kiraam	ख़िराम
saagar	सागर
jhulaaengi	झुलाएँगी
vada	वादा
timir	टिमिर
vaarein	वारें
samuh	समूह
suurya	सूर्य
sharmaayaa	शर्माया
gher	घेर
ghem	घें
patthar	पत्थर
ghen	घें
zehr	ज़हर
ghee	घी
ghumein	घुमें
masjidon	मस्जिदों
varshik	वार्षिक
bakhuubi	बखूबी
porila	पोरीला
khevaiya	खेवैया
chhudaate	छुड़ाते
ishq	इश्क़
vani	वाणी
cycling	सायकिलिंग**
thumakaa	ठुमका
sarhadon	सरहदों
takadi	तकादी
mahilaon	महिलाओं
ishk	इश्क
naach	नाच
ghabaraayegi	घबराएगी
sailab	सैलाब
karyakaramon	कार्यक्रमों
dikhalaaya	दिखलाया
aanevaalaa	आनेवाला
dikhalaaye	दिखलाए
sawaliya	सवालिया
zalim	ज़ालिम
tathya	तथ्य
gungaa	गूंगा
lahlaha	लहलहा
janejana	जानेजाना
thumari	ठुमरी
nirvaave	निर्वावे
khawabon	ख्वाबों
ghabara	घबरा
vana	वन
pilaaii	पिलाई
churayega	चुराएगा
roothte	रूठते
musa	मूसा
behethi	बहती
qasmen	क़समें
chhudaavo	छुड़ावो
bhishan	भीषण
zakmon	ज़ख़्मों
sarakata	सरकता
udaay	उड़ाय
drshti	दृष्टि
udaao	उड़ाओ
sarakati	सरकती
lagegee	लगेगी
udaas	उदास
yaani	यानि
bazaaron	बाज़ारों
ghabaraayega	घबराएगा
pratimaao	प्रतिमाओं
ghat	घाट
ghas	घास
esko	इसको
udaan	उड़ान
ghar	घर
mahjabeenon	महजबीनों
mansil	मानसिल
bedardi	बेदर्दी
kampaniyon	कम्पनियों
uthaiye	उठाइये
udaae	उड़ाए
mansik	मानसिक
ghad	गढ़
aamtaur	आमतौर
bedarda	बेदर्दा
ghaa	घा
ghan	घं
isii	इसी
gham	घं
bahaarein	बहारें
ghai	घै
dikhalaata	दिखलाता
single	सिंगल
dikhalaate	दिखलाते
santusth	संतुष्ट
chhudaaya	छुड़ाया
pilaake	पिलाके
chhudaaye	छुड़ाये
mulk	मुल्क
qaboo	क़ाबू
sarakane	सरकने
behetar	बेहतर
yaahi	याही
vaju	वजू
hamanaais	हमनायस
mulq	मुल्क़
fraansiisii	फ्रांसीसी
panaahen	पनाहें
